t_in,p_in,e_cond,e_boiler,styr_flow,specific_energy,anomaly
325.255,49473.7,7128.94,8541.84,4.40306,3558.9810894375464,0
325.255,51578.9,7128.94,8541.82,4.40306,3558.9810894375464,0
325.255,53684.2,7128.94,8541.81,4.40306,3558.9810894375464,0
325.255,55789.5,7128.94,8541.8,4.40306,3558.9810894375464,0
325.255,57894.7,7128.94,8541.78,4.40306,3558.9810894375464,0
325.255,60000.0,7128.94,8541.77,4.40306,3558.9810894375464,0
326.834,20000.0,7128.94,8522.86,4.40306,3554.700940229989,0
326.834,22105.3,7128.94,8522.84,4.40306,3554.700940229989,0
326.834,24210.5,7128.94,8522.83,4.40306,3554.700940229989,0
326.834,26315.8,7128.94,8522.81,4.40306,3554.700940229989,0
326.834,28421.1,7128.94,8522.8,4.40306,3554.700940229989,0
326.834,30526.3,7128.94,8522.79,4.40306,3554.700940229989,0
326.834,32631.6,7128.94,8522.77,4.40306,3554.700940229989,0
326.834,34736.8,7128.94,8522.76,4.40306,3554.700940229989,0
326.834,36842.1,7128.94,8522.74,4.40306,3554.700940229989,0
326.834,38947.4,7128.94,8522.73,4.40306,3554.700940229989,0
326.834,41052.6,7128.94,8522.72,4.40306,3554.700940229989,0
326.834,43157.9,7128.94,8522.7,4.40306,3554.700940229989,0
326.834,45263.2,7128.94,8522.69,4.40306,3554.700940229989,0
326.834,47368.4,7128.94,8522.67,4.40306,3554.700940229989,0
326.834,49473.7,7128.94,8522.66,4.40306,3554.700940229989,0
382.62357871467407,51578.9,7128.94,8522.65,4.40306,3403.473757756544,1
326.834,53684.2,7128.94,8522.63,4.40306,3554.700940229989,0
326.834,55789.5,7128.94,8522.62,4.40306,3554.700940229989,0
326.834,57894.7,7128.94,8522.6,4.40306,3554.700940229989,0
326.834,60000.0,7128.94,8522.59,4.40306,3554.700940229989,0
328.413,20000.0,7128.94,8503.61,4.40306,3550.420791022432,0
328.413,22105.3,7128.94,8503.6,4.40306,3550.420791022432,0
328.413,24210.5,7128.94,8503.58,4.40306,3550.420791022432,0
328.413,26315.8,7128.94,8503.57,4.40306,3550.420791022432,0
328.413,28421.1,7128.94,8503.55,4.40306,3550.420791022432,0
328.413,30526.3,7128.94,8503.54,4.40306,3550.420791022432,0
328.413,32631.6,7128.94,8503.53,4.40306,3550.420791022432,0
328.413,34736.8,7128.94,8503.51,4.40306,3550.420791022432,0
328.413,36842.1,7128.94,8503.5,4.40306,3550.420791022432,0
328.413,38947.4,7128.94,8503.48,4.40306,3550.420791022432,0
328.413,41052.6,7128.94,8503.47,4.40306,3550.420791022432,0
328.413,43157.9,7128.94,8503.46,4.40306,3550.420791022432,0
328.413,45263.2,7128.94,8503.44,4.40306,3550.420791022432,0
328.413,47368.4,7128.94,8503.43,4.40306,3550.420791022432,0
328.413,49473.7,7128.94,8503.41,4.40306,3550.420791022432,0
328.413,51578.9,7128.94,8503.4,4.40306,3550.420791022432,0
328.413,53684.2,7128.94,8503.39,4.40306,3550.420791022432,0
328.413,55789.5,7128.94,8503.37,4.40306,3550.420791022432,0
328.413,57894.7,7128.94,8503.36,4.40306,3550.420791022432,0
328.413,60000.0,7128.94,8503.34,4.40306,3550.420791022432,0
329.992,20000.0,7128.94,8484.3,4.40306,3546.1406418148745,0
329.992,22105.3,7128.94,8484.28,4.40306,3546.1406418148745,0
329.992,24210.5,7128.94,8484.27,4.40306,3546.1406418148745,0
329.992,26315.8,7128.94,8484.25,4.40306,3546.1406418148745,0
329.992,28421.1,7128.94,8484.24,4.40306,3546.1406418148745,0
329.992,30526.3,7128.94,8484.23,4.40306,3546.1406418148745,0
329.992,32631.6,7128.94,8484.21,4.40306,3546.1406418148745,0
329.992,34736.8,7128.94,8484.2,4.40306,3546.1406418148745,0
329.992,36842.1,7128.94,8484.19,4.40306,3546.1406418148745,0
329.992,38947.4,7128.94,8484.17,4.40306,3546.1406418148745,0
329.992,41052.6,7128.94,8484.16,4.40306,3546.1406418148745,0
